,date,weekday,holiday
0,1/1/24,segunda-feira,Confraternização Universal
1,12/2/24,segunda-feira,Carnaval
2,13/2/24,terça-feira,Carnaval
3,29/3/24,sexta-feira,Paixão de Cristo
4,21/4/24,domingo,Tiradentes
5,1/5/24,quarta-feira,Dia do Trabalho
6,30/5/24,quinta-feira,Corpus Christi
7,7/9/24,sábado,Independência do Brasil
8,12/10/24,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
9,2/11/24,sábado,Finados
10,15/11/24,sexta-feira,Proclamação da República
11,20/11/24,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
12,25/12/24,quarta-feira,Natal
13,1/1/25,quarta-feira,Confraternização Universal
14,3/3/25,segunda-feira,Carnaval
15,4/3/25,terça-feira,Carnaval
16,18/4/25,sexta-feira,Paixão de Cristo
17,21/4/25,segunda-feira,Tiradentes
18,1/5/25,quinta-feira,Dia do Trabalho
19,19/6/25,quinta-feira,Corpus Christi
20,7/9/25,domingo,Independência do Brasil
21,12/10/25,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
22,2/11/25,domingo,Finados
23,15/11/25,sábado,Proclamação da República
24,20/11/25,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
25,25/12/25,quinta-feira,Natal
26,1/1/26,quinta-feira,Confraternização Universal
27,16/2/26,segunda-feira,Carnaval
28,17/2/26,terça-feira,Carnaval
29,3/4/26,sexta-feira,Paixão de Cristo
30,21/4/26,terça-feira,Tiradentes
31,1/5/26,sexta-feira,Dia do Trabalho
32,4/6/26,quinta-feira,Corpus Christi
33,7/9/26,segunda-feira,Independência do Brasil
34,12/10/26,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
35,2/11/26,segunda-feira,Finados
36,15/11/26,domingo,Proclamação da República
37,20/11/26,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
38,25/12/26,sexta-feira,Natal
39,1/1/27,sexta-feira,Confraternização Universal
40,8/2/27,segunda-feira,Carnaval
41,9/2/27,terça-feira,Carnaval
42,26/3/27,sexta-feira,Paixão de Cristo
43,21/4/27,quarta-feira,Tiradentes
44,1/5/27,sábado,Dia do Trabalho
45,27/5/27,quinta-feira,Corpus Christi
46,7/9/27,terça-feira,Independência do Brasil
47,12/10/27,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
48,2/11/27,terça-feira,Finados
49,15/11/27,segunda-feira,Proclamação da República
50,20/11/27,sábado,Dia Nacional de Zumbi e da Consciência Negra
51,25/12/27,sábado,Natal
52,1/1/28,sábado,Confraternização Universal
53,28/2/28,segunda-feira,Carnaval
54,29/2/28,terça-feira,Carnaval
55,14/4/28,sexta-feira,Paixão de Cristo
56,21/4/28,sexta-feira,Tiradentes
57,1/5/28,segunda-feira,Dia do Trabalho
58,15/6/28,quinta-feira,Corpus Christi
59,7/9/28,quinta-feira,Independência do Brasil
60,12/10/28,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
61,2/11/28,quinta-feira,Finados
62,15/11/28,quarta-feira,Proclamação da República
63,20/11/28,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
64,25/12/28,segunda-feira,Natal
65,1/1/29,segunda-feira,Confraternização Universal
66,12/2/29,segunda-feira,Carnaval
67,13/2/29,terça-feira,Carnaval
68,30/3/29,sexta-feira,Paixão de Cristo
69,21/4/29,sábado,Tiradentes
70,1/5/29,terça-feira,Dia do Trabalho
71,31/5/29,quinta-feira,Corpus Christi
72,7/9/29,sexta-feira,Independência do Brasil
73,12/10/29,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
74,2/11/29,sexta-feira,Finados
